Source IP,Attack Type,Attack Severity,Data Exfiltrated,Response Action
219.80.193.15,Ransomware,Critical,FALSE,Eradicated
110.155.68.245,Malware,Critical,TRUE,Eradicated
171.153.115.83,Ransomware,High,FALSE,Eradicated
29.49.228.195,DDoS,Critical,FALSE,Contained
120.43.64.52,Malware,Medium,FALSE,Eradicated
114.170.234.8,Insider Threat,Medium,FALSE,Recovered
212.62.126.191,DDoS,Medium,FALSE,Recovered
24.171.248.77,Insider Threat,Low,FALSE,Blocked
78.151.115.57,Malware,Medium,FALSE,Blocked
118.187.114.245,Ransomware,High,FALSE,Blocked
17.33.248.161,Phishing,Critical,FALSE,Contained
141.136.226.234,Malware,Critical,FALSE,Recovered
124.109.149.194,Insider Threat,High,FALSE,Contained
171.168.160.38,Ransomware,Medium,FALSE,Recovered
174.241.16.56,Phishing,Medium,FALSE,Blocked
28.169.253.49,DDoS,Low,FALSE,Blocked
144.132.58.48,Ransomware,High,FALSE,Recovered
81.135.130.62,DDoS,High,TRUE,Recovered
34.99.80.76,DDoS,Critical,FALSE,Recovered
100.11.99.79,Malware,Low,FALSE,Blocked
122.41.245.80,DDoS,Critical,FALSE,Recovered
76.61.171.42,Phishing,Medium,FALSE,Recovered
155.206.91.171,Insider Threat,Medium,FALSE,Blocked
4.48.56.153,DDoS,Low,FALSE,Eradicated
158.117.101.117,Malware,Low,FALSE,Eradicated
209.216.166.104,Phishing,Critical,FALSE,Contained
19.106.148.133,Ransomware,Medium,FALSE,Blocked
193.97.22.26,Phishing,High,FALSE,Blocked
169.21.110.36,Malware,High,FALSE,Contained
82.44.218.233,Ransomware,Low,FALSE,Contained
178.59.142.94,DDoS,High,FALSE,Recovered
212.16.254.164,Malware,Medium,FALSE,Blocked
163.236.235.129,Ransomware,Critical,FALSE,Blocked
6.211.125.139,Ransomware,Critical,FALSE,Blocked
131.204.232.37,Malware,High,FALSE,Blocked
76.115.108.13,Ransomware,Critical,FALSE,Contained
125.247.64.68,Insider Threat,Low,FALSE,Eradicated
28.220.191.235,Phishing,Medium,FALSE,Recovered
191.176.41.198,Phishing,High,FALSE,Eradicated
36.16.136.253,Phishing,Critical,FALSE,Contained
81.179.21.66,Malware,Low,FALSE,Eradicated
188.125.41.179,Ransomware,High,FALSE,Recovered
152.170.255.135,Ransomware,High,FALSE,Blocked
69.225.77.69,Insider Threat,Medium,FALSE,Eradicated
68.222.251.185,Insider Threat,High,FALSE,Contained
79.221.159.196,Insider Threat,Critical,FALSE,Contained
31.179.210.66,Insider Threat,Critical,FALSE,Eradicated
106.185.31.247,Phishing,Low,FALSE,Blocked
65.187.40.47,Phishing,Medium,FALSE,Contained
63.237.66.14,Ransomware,High,FALSE,Contained
60.145.86.168,Insider Threat,Low,FALSE,Blocked
195.126.127.75,Malware,High,FALSE,Recovered
38.13.147.61,Insider Threat,Low,FALSE,Eradicated
163.57.236.115,DDoS,High,FALSE,Contained
156.235.162.236,Malware,Low,FALSE,Blocked
132.62.64.48,Ransomware,Medium,FALSE,Contained
203.243.228.198,Phishing,High,FALSE,Blocked
101.39.121.96,DDoS,Medium,FALSE,Blocked
179.248.116.15,Ransomware,Low,FALSE,Blocked
23.1.138.40,Insider Threat,Medium,FALSE,Contained
194.124.155.11,DDoS,Low,FALSE,Eradicated
12.193.218.238,Insider Threat,High,TRUE,Blocked
183.104.20.21,Malware,Critical,FALSE,Eradicated
57.214.11.46,Malware,Critical,TRUE,Recovered
156.245.43.202,Phishing,Medium,FALSE,Contained
171.140.70.201,Malware,Low,FALSE,Recovered
120.63.68.24,DDoS,High,FALSE,Recovered
204.83.138.38,Ransomware,Critical,FALSE,Recovered
12.210.233.25,DDoS,Critical,FALSE,Blocked
165.240.183.238,Phishing,Low,FALSE,Recovered
25.228.152.18,Insider Threat,Low,FALSE,Eradicated
90.92.70.135,DDoS,Low,FALSE,Contained
199.38.251.166,Insider Threat,Low,FALSE,Eradicated
64.115.92.147,Phishing,Critical,FALSE,Blocked
135.85.125.233,Phishing,Medium,FALSE,Blocked
69.229.218.103,Ransomware,Critical,FALSE,Eradicated
27.161.209.132,Insider Threat,Low,FALSE,Blocked
37.203.124.143,Malware,Critical,FALSE,Blocked
13.229.143.191,Phishing,Critical,FALSE,Recovered
208.42.226.154,DDoS,High,FALSE,Recovered
223.10.82.73,Ransomware,High,FALSE,Contained
219.139.68.69,Ransomware,Critical,FALSE,Recovered
166.39.79.85,Insider Threat,Critical,FALSE,Eradicated
181.153.223.135,Malware,Low,FALSE,Recovered
25.170.55.207,Phishing,Low,FALSE,Blocked
140.129.215.9,DDoS,Medium,FALSE,Blocked
177.152.139.83,Phishing,Critical,FALSE,Blocked
203.62.201.44,Ransomware,Low,FALSE,Blocked
168.8.228.166,DDoS,Critical,FALSE,Blocked
106.218.142.201,Insider Threat,High,FALSE,Recovered
